Original Word,Stemmed Word
The,the
cats,cat
are,are
running,run
quickly,quickli
towards,toward
the,the
trees,tree
.,.
John,john
was,wa
studying,studi
different,differ
analyses,analys
of,of
historical,histor
documents,document
.,.
She,she
enjoys,enjoy
playing,play
with,with
her,her
friends,friend
and,and
watches,watch
movies,movi
regularly,regularli
.,.
Computers,comput
and,and
algorithms,algorithm
have,have
changed,chang
dramatically,dramat
over,over
the,the
past,past
decades,decad
.,.
People,peopl
were,were
amazed,amaz
by,by
the,the
discoveries,discoveri
and,and
technological,technolog
advancements,advanc
.,.
