Original Word,Lemmatized Word
The,The
cats,cat
are,are
running,running
quickly,quickly
towards,towards
the,the
trees,tree
.,.
John,John
was,wa
studying,studying
different,different
analyses,analysis
of,of
historical,historical
documents,document
.,.
She,She
enjoys,enjoys
playing,playing
with,with
her,her
friends,friend
and,and
watches,watch
movies,movie
regularly,regularly
.,.
Computers,Computers
and,and
algorithms,algorithm
have,have
changed,changed
dramatically,dramatically
over,over
the,the
past,past
decades,decade
.,.
People,People
were,were
amazed,amazed
by,by
the,the
discoveries,discovery
and,and
technological,technological
advancements,advancement
.,.
